id,total_area,total_buildings,total_area_adm2,total_buildings_adm2
2824,16582.199099999998,362,4211450.142600003,85861
2825,16582.199099999998,362,9890180.899499815,179876
6347,43923.51789999998,815,4133096.9898999697,66392
6348,43923.51789999998,815,4657818.107100053,85818
7088,809283.1646999989,8875,4133096.9898999697,66392
8108,2428729.126500003,30410,24861718.021100167,252246
8109,2428729.126500003,30410,47215055.56479972,619190
9919,865173.3075000015,12998,21566008.307099942,244723
2361,451081.9600000004,6478,2899320.5089000068,71008
1287,18667.9911,408,9890180.899499815,179876
1288,18667.9911,408,2334409.3442000058,50307
4696,100008.52279999995,1510,4709504.632400045,92056
11600,409.83140000000003,27,2973187.7172000166,44655
10413,2626715.4575,27339,11858749.004100267,159831
10414,2626715.4575,27339,17336953.5536999,195571
1889,4014.5391999999983,142,5496198.666799969,82377
1890,4014.5391999999983,142,5308807.644200065,81122
976,15279.8478,475,927804.3632000035,29753
2288,79619.76379999988,1227,5496198.666799969,82377
11654,156775.05019999977,1715,10500202.931499997,127209
8355,2178994.479299988,23507,24861718.021100167,252246
10147,71040.31829999991,1170,3901531.550699996,63528
10148,71040.31829999991,1170,6112192.636499925,85381
2182,1773392.3873999834,24675,9890180.899499815,179876
8106,1415473.9593000037,16797,24861718.021100167,252246
8107,1415473.9593000037,16797,47215055.56479972,619190
7380,158875.96279999957,2791,7614076.459100063,127972
12007,34381.949499999966,507,3913823.806299989,56650
6162,141360.15349999964,2544,4496622.037400065,77870
8876,1273921.6108999995,16805,24861718.021100167,252246
8877,1273921.6108999995,16805,21566008.307099942,244723
7865,454656.66190000204,5426,47215055.56479972,619190
10294,397084.28070000006,4465,13275166.61959999,165410
6915,693057.8211000003,10076,11968283.436900381,179184
6916,693057.8211000003,10076,47215055.56479972,619190
8350,153679.54400000037,3617,47215055.56479972,619190
8351,153679.54400000037,3617,1500113.5719000017,29368
6658,285045.2411000006,4628,11968283.436900381,179184
6659,285045.2411000006,4628,5699121.754100002,98958
11946,7980.490199999999,181,4285445.744199992,88997
11947,7980.490199999999,181,5228787.03699996,102951
508,1800.5754000000006,78,1939233.2433999968,69280
9785,265730.7551999996,3233,13275166.61959999,165410
7870,1828152.8011000014,23629,47215055.56479972,619190
8065,581663.1226000035,6678,2989647.977599972,43949
8066,581663.1226000035,6678,3142890.832699973,44808
888,4613.6570999999985,155,2029721.9122000062,60235
889,4613.6570999999985,155,927804.3632000035,29753
9374,144093.16810000013,2332,3901531.550699996,63528
9375,144093.16810000013,2332,2035082.3115999976,32393
9892,63107.79300000001,943,2035082.3115999976,32393
9893,63107.79300000001,943,6112192.636499925,85381
9894,63107.79300000001,943,5692150.617499987,76981
9120,151654.3312000001,2810,3901531.550699996,63528
9121,151654.3312000001,2810,5258094.3257999765,83965
855,65710.21990000003,1724,2334409.3442000058,50307
6052,93112.50860000007,1925,6063750.6400000695,130010
10775,101311.76639999982,1444,4285445.744199992,88997
9129,3107411.704299978,25853,24861718.021100167,252246
9130,3107411.704299978,25853,21566008.307099942,244723
4276,3343.504499999999,80,5315387.529699943,88334
4277,3343.504499999999,80,4304857.690400043,67425
4524,97097.53559999997,1766,3606248.4461999945,68985
5267,16089.481500000002,343,1769334.0413999925,38144
10369,730898.2097,6157,5580689.679099988,66088
2703,152557.3010000002,2568,5496198.666799969,82377
2704,152557.3010000002,2568,5315387.529699943,88334
7161,94928.1463000001,1899,47215055.56479972,619190
7162,94928.1463000001,1899,5699121.754100002,98958
8623,888346.0361000027,11155,24861718.021100167,252246
10394,58874.4914,867,6112192.636499925,85381
10395,58874.4914,867,5692150.617499987,76981
9652,1595872.055599999,18506,21566008.307099942,244723
5937,153748.57269999964,2914,6763924.412699959,110981
8354,1310773.6568000012,14551,24861718.021100167,252246
