id,distance1,distance2,distance3,distance4,distance5,distance6,distance7,distance8,distance9,distance10
13687,1330317.3397077152,1330317.2890380188,1330317.138320715,1330314.51957808,1330314.5513555703,1330316.7275132088,1330317.474924192,1330312.7438100725,1330317.364632443,1330314.1149497265
13688,1327552.5599752397,1327552.5094065636,1327552.3584849737,1327549.740707013,1327549.7733897483,1327551.948363774,1327552.6954810035,1327547.9653011726,1327552.5855798738,1327549.3374169092
13689,1324788.8037972741,1324788.7533300787,1324788.602203467,1324785.985396229,1324786.0189879618,1324788.192771755,1324788.9395934276,1324784.2103554388,1324788.8300846322,1324785.5834502708
13690,1322026.0775931813,1322026.02722793,1322025.8758955575,1322023.2600651386,1322023.2945696427,1322025.4671565343,1322026.2136808324,1322021.4853923076,1322026.1045660968,1322022.8594692585
13691,1319264.3878336945,1319264.3375708538,1319264.1860319774,1319261.5711845234,1319261.6066055938,1319263.7779888648,1319264.524213957,1319259.7968825866,1319264.4154950168,1319261.171944689
13692,1316503.7410414042,1316503.6908814437,1316503.5391353173,1316500.9252770229,1316500.961618476,1316503.1317913576,1316503.8777153974,1316499.1513489415,1316503.7693939994,1316500.527399239
13693,1313744.143791253,1313744.093734645,1313743.941780519,1313741.3289176289,1313741.3661833033,1313743.5351389756,1313744.2807601022,1313739.5553663913,1313744.172838003,1313740.9324079365
13694,1313744.143791253,1313744.093734645,1313743.941780519,1313741.3289176289,1313741.3661833033,1313743.5351389756,1313744.2807601022,1313739.5553663913,1313744.172838003,1313740.9324079365
13695,1310985.6027110338,1310985.5527582536,1310985.4005953749,1310982.7887341836,1310982.8269279397,1310984.9946595319,1310985.7399758694,1310981.0155628049,1310985.6324548367,1310982.3935986608
13696,1310985.6027110338,1310985.5527582536,1310985.4005953749,1310982.7887341836,1310982.8269279397,1310984.9946595319,1310985.7399758694,1310981.0155628049,1310985.6324548367,1310982.3935986608
13697,1308228.1244818934,1308228.0746334195,1308227.9222610318,1308225.3114078848,1308225.3505336046,1308227.5170341942,1308228.2620438521,1308223.538619407,1308228.1549256644,1308224.9176526468
13698,1305471.7158388428,1305471.6660951565,1305471.5135124994,1305468.903673794,1305468.9437353814,1305471.108997994,1305471.8536990671,1305467.1312712869,1305471.7469855135,1305468.511304993
13699,1302716.3835712716,1302716.3339328573,1302716.1811391674,1302713.5723213516,1302713.6133227334,1302715.7773403425,1302716.5217309091,1302711.8003079128,1302716.41542379,1302713.1813451778
13700,1299962.1345234686,1299962.0849908139,1299961.9319853238,1299959.3241948986,1299959.3661400238,1299961.528905549,1299962.2729836733,1299957.5525736536,1299962.1670847996,1299958.9346175804
13701,1297208.9755951478,1297208.926168743,1297208.7729506828,1297206.1661942012,1297206.2090870412,1297208.3705933494,1297209.1143570794,1297204.3949683039,1297209.0088682733,1297205.7780220045
13702,1294456.9137419802,1294456.8644223197,1294456.7109909146,1294454.1052749832,1294454.1491195324,1294456.3093594364,1294457.0528068044,1294452.3344476162,1294456.9477298998,1294453.7185142133
13703,1291705.9559761318,1291705.9067637122,1291705.7531181844,1291703.1484494638,1291703.193249739,1291705.352215997,1291706.09534502,1291701.3780238384,1291705.9906818613,1291702.7631064642
13704,1288956.1093668055,1288956.0602621268,1288955.9064016952,1288953.3027868997,1288953.348546941,1288955.5062322565,1288956.2490409354,1288951.532766257,1288956.1447933782,1288952.9188680532
13705,1286207.3810407917,1286207.3320443574,1286207.1779682369,1286204.5754141358,1286204.6221380066,1286206.7785350273,1286207.5210213468,1286202.8058017457,1286207.4171912586,1286204.1929258646
13706,1283459.7781830223,1283459.7292953385,1283459.5750027406,1283456.9735161585,1283457.0212079454,1283459.1763092633,1283459.9184711918,1283455.2043153213,1283459.8150604514,1283456.592464924
13707,1280713.3080371316,1280713.2592587085,1280713.1047488411,1280710.5043366582,1280710.553000471,1280712.706798622,1280713.448634111,1280708.7355507042,1280713.3456446093,1280710.1247289623
13708,1280713.3080371316,1280713.2592587085,1280713.1047488411,1280710.5043366582,1280710.553000471,1280712.706798622,1280713.448634111,1280708.7355507042,1280713.3456446093,1280710.1247289623
13709,1277967.9779060243,1277967.9292373748,1277967.774509442,1277965.1751785951,1277965.2248185677,1277967.37730603,1277968.1188130158,1277963.4068108848,1277968.016246654,1277964.79702098
13710,1277967.9779060243,1277967.9292373748,1277967.774509442,1277965.1751785951,1277965.2248185677,1277967.37730603,1277968.1188130158,1277963.4068108848,1277968.016246654,1277964.79702098
13711,1275223.795152448,1275223.7465940884,1275223.5916472906,1275220.9934047735,1275221.0440250633,1275223.195194258,1275223.936370659,1275219.2254586986,1275223.8342293515,1275220.6167038213
13712,1275223.795152448,1275223.7465940884,1275223.5916472906,1275220.9934047735,1275221.0440250633,1275223.195194258,1275223.936370659,1275219.2254586986,1275223.8342293515,1275220.6167038213
13713,1272480.7671995724,1272480.7187520226,1272480.5635855566,1272477.9664384201,1272478.0180432086,1272480.167886499,1272480.9087302168,1272476.1989174036,1272480.807015889,1272477.5912007545
