id,admin2Pcod,population,population_adm2
585,BJ0208,0,118221.17363291979
586,BJ0208,0,118221.17363291979
587,BJ0208,0,118221.17363291979
588,BJ0205,0,148473.9669175148
589,BJ0208,0,118221.17363291979
590,BJ0205,0,148473.9669175148
591,BJ0208,0,118221.17363291979
592,BJ0205,0,148473.9669175148
593,BJ0205,0,148473.9669175148
594,BJ0205,246.32778930664062,148473.9669175148
595,BJ0205,940.42889404296875,148473.9669175148
596,BJ0208,940.42889404296875,118221.17363291979
597,BJ0208,611.0054931640625,118221.17363291979
598,BJ0208,639.8153076171875,118221.17363291979
599,BJ0208,355.6925354003906,118221.17363291979
600,BJ0208,260.4208068847656,118221.17363291979
601,BJ0208,1537.19482421875,118221.17363291979
602,BJ0208,2845.19384765625,118221.17363291979
603,BJ0208,47.957496643066406,118221.17363291979
604,BJ0208,377.7259826660156,118221.17363291979
605,BJ0208,1116.12060546875,118221.17363291979
606,BJ0209,1116.12060546875,127475.80545830727
607,BJ0208,631.204833984375,118221.17363291979
608,BJ0209,631.204833984375,127475.80545830727
609,BJ0206,100.09687042236328,131018.16272680461
610,BJ0209,100.09687042236328,127475.80545830727
611,BJ0206,72.05379486083984,131018.16272680461
612,BJ0206,29.98247528076172,131018.16272680461
613,BJ0201,29.98247528076172,93779.27038025856
614,BJ0206,175.32814025878906,131018.16272680461
615,BJ0201,175.32814025878906,93779.27038025856
616,BJ0206,51.141605377197266,131018.16272680461
617,BJ0201,51.141605377197266,93779.27038025856
618,BJ0206,198.80307006835938,131018.16272680461
619,BJ0206,1075.914794921875,131018.16272680461
620,BJ0206,505.3368225097656,131018.16272680461
621,BJ0201,505.3368225097656,93779.27038025856
622,BJ0206,129.61570739746094,131018.16272680461
623,BJ0201,129.61570739746094,93779.27038025856
624,BJ0201,49.35893630981445,93779.27038025856
625,BJ0201,55.015228271484375,93779.27038025856
626,BJ0201,62.7808837890625,93779.27038025856
627,BJ0201,162.92416381835938,93779.27038025856
628,BJ0201,0,93779.27038025856
629,BJ0208,0,118221.17363291979
630,BJ0208,0,118221.17363291979
631,BJ0208,0,118221.17363291979
632,BJ0208,0,118221.17363291979
633,BJ0208,0,118221.17363291979
634,BJ0208,0,118221.17363291979
635,BJ0208,0,118221.17363291979
636,BJ0208,0,118221.17363291979
637,BJ0208,0,118221.17363291979
638,BJ0208,0,118221.17363291979
639,BJ0208,0,118221.17363291979
640,BJ0208,0,118221.17363291979
641,BJ0208,0,118221.17363291979
642,BJ0208,0,118221.17363291979
643,BJ0208,0,118221.17363291979
644,BJ0208,0,118221.17363291979
645,BJ0208,0,118221.17363291979
646,BJ0208,0,118221.17363291979
647,BJ0208,0,118221.17363291979
648,BJ0205,0,148473.9669175148
649,BJ0208,0,118221.17363291979
650,BJ0205,0,148473.9669175148
651,BJ0208,0,118221.17363291979
652,BJ0205,0,148473.9669175148
653,BJ0208,0,118221.17363291979
654,BJ0205,12.836526870727539,148473.9669175148
655,BJ0208,12.836526870727539,118221.17363291979
656,BJ0205,12.463462829589844,148473.9669175148
657,BJ0208,12.463462829589844,118221.17363291979
658,BJ0208,1236.6566162109375,118221.17363291979
659,BJ0208,2681.95263671875,118221.17363291979
660,BJ0208,7414.63037109375,118221.17363291979
661,BJ0208,998.88128662109375,118221.17363291979
662,BJ0208,72.05122375488281,118221.17363291979
663,BJ0208,0,118221.17363291979
664,BJ0208,260.2803039550781,118221.17363291979
665,BJ0208,1229.78076171875,118221.17363291979
666,BJ0209,1229.78076171875,127475.80545830727
667,BJ0208,155.1429443359375,118221.17363291979
668,BJ0209,155.1429443359375,127475.80545830727
669,BJ0209,32.59712219238281,127475.80545830727
670,BJ0206,0.45907044410705566,131018.16272680461
671,BJ0209,0.45907044410705566,127475.80545830727
672,BJ0206,121.28333282470703,131018.16272680461
673,BJ0206,352.2119445800781,131018.16272680461
674,BJ0206,106.6892318725586,131018.16272680461
675,BJ0206,281.9897155761719,131018.16272680461
676,BJ0206,161.69561767578125,131018.16272680461
677,BJ0206,531.15753173828125,131018.16272680461
678,BJ0206,104.19218444824219,131018.16272680461
679,BJ0206,154.10604858398438,131018.16272680461
680,BJ0201,154.10604858398438,93779.27038025856
681,BJ0201,288.1282958984375,93779.27038025856
682,BJ0201,193.194580078125,93779.27038025856
683,BJ0201,97.26625061035156,93779.27038025856
684,BJ0201,18.85818099975586,93779.27038025856
685,BJ0201,47.733367919921875,93779.27038025856
686,BJ0208,0,118221.17363291979
687,BJ0208,0,118221.17363291979
688,BJ0208,0,118221.17363291979
689,BJ0208,0,118221.17363291979
690,BJ0208,0,118221.17363291979
691,BJ0208,0,118221.17363291979
692,BJ0208,0,118221.17363291979
693,BJ0208,0,118221.17363291979
694,BJ0208,0,118221.17363291979
695,BJ0208,0,118221.17363291979
696,BJ0208,0,118221.17363291979
697,BJ0208,0,118221.17363291979
698,BJ0208,0,118221.17363291979
699,BJ0208,0,118221.17363291979
700,BJ0208,0,118221.17363291979
701,BJ0208,0,118221.17363291979
702,BJ0208,0,118221.17363291979
703,BJ0208,0,118221.17363291979
704,BJ0208,0,118221.17363291979
705,BJ0208,0,118221.17363291979
706,BJ0208,0,118221.17363291979
707,BJ0208,0,118221.17363291979
708,BJ0208,0,118221.17363291979
709,BJ0208,0,118221.17363291979
710,BJ0208,699.7747802734375,118221.17363291979
711,BJ0208,1740.6556396484375,118221.17363291979
712,BJ0208,11736.8427734375,118221.17363291979
713,BJ0208,367.61474609375,118221.17363291979
714,BJ0208,390.1006164550781,118221.17363291979
715,BJ0208,434.3286437988281,118221.17363291979
716,BJ0208,3326.3603515625,118221.17363291979
717,BJ0209,3326.3603515625,127475.80545830727
718,BJ0208,0,118221.17363291979
719,BJ0209,0,127475.80545830727
720,BJ0209,0,127475.80545830727
721,BJ0209,527.46453857421875,127475.80545830727
722,BJ0206,507.6242980957031,131018.16272680461
723,BJ0209,507.6242980957031,127475.80545830727
724,BJ0206,223.57666015625,131018.16272680461
725,BJ0209,223.57666015625,127475.80545830727
726,BJ0206,630.23040771484375,131018.16272680461
727,BJ0206,565.91119384765625,131018.16272680461
728,BJ0206,580.5950927734375,131018.16272680461
729,BJ0206,364.7765197753906,131018.16272680461
730,BJ0206,221.5972900390625,131018.16272680461
731,BJ0206,116.085693359375,131018.16272680461
732,BJ0206,322.9365539550781,131018.16272680461
733,BJ0201,322.9365539550781,93779.27038025856
734,BJ0206,204.17041015625,131018.16272680461
735,BJ0201,204.17041015625,93779.27038025856
736,BJ0206,140.28982543945312,131018.16272680461
737,BJ0201,140.28982543945312,93779.27038025856
738,BJ0206,0,131018.16272680461
739,BJ0201,0,93779.27038025856
740,BJ0206,155.9853973388672,131018.16272680461
741,BJ0201,155.9853973388672,93779.27038025856
742,BJ0201,46.655799865722656,93779.27038025856
743,BJ0201,27.030248641967773,93779.27038025856
744,BJ0208,0,118221.17363291979
745,BJ0208,0,118221.17363291979
746,BJ0208,0,118221.17363291979
747,BJ0208,0,118221.17363291979
748,BJ0208,0,118221.17363291979
749,BJ0208,0,118221.17363291979
750,BJ0208,0,118221.17363291979
751,BJ0208,0,118221.17363291979
752,BJ0208,0,118221.17363291979
753,BJ0208,0,118221.17363291979
754,BJ0208,0,118221.17363291979
755,BJ0208,0,118221.17363291979
756,BJ0208,0,118221.17363291979
757,BJ0208,0,118221.17363291979
758,BJ0208,0,118221.17363291979
759,BJ0208,0,118221.17363291979
760,BJ0208,0,118221.17363291979
761,BJ0208,0,118221.17363291979
762,BJ0208,0,118221.17363291979
763,BJ0208,0,118221.17363291979
764,BJ0208,0,118221.17363291979
765,BJ0208,89.78467559814453,118221.17363291979
766,BJ0208,190.3643035888672,118221.17363291979
767,BJ0208,346.9269104003906,118221.17363291979
768,BJ0208,369.7943115234375,118221.17363291979
769,BJ0208,71.30536651611328,118221.17363291979
770,BJ0208,2089.886962890625,118221.17363291979
771,BJ0208,384.5021057128906,118221.17363291979
772,BJ0208,144.4489288330078,118221.17363291979
773,BJ0209,144.4489288330078,127475.80545830727
774,BJ0208,1331.4964599609375,118221.17363291979
775,BJ0209,1331.4964599609375,127475.80545830727
776,BJ0209,465.1211242675781,127475.80545830727
777,BJ0209,1003.8887329101562,127475.80545830727
778,BJ0209,4661.220703125,127475.80545830727
779,BJ0209,269.3974304199219,127475.80545830727
780,BJ0206,352.2950744628906,131018.16272680461
781,BJ0209,352.2950744628906,127475.80545830727
782,BJ0206,650.57171630859375,131018.16272680461
783,BJ0206,221.07745361328125,131018.16272680461
784,BJ0206,601.47381591796875,131018.16272680461
785,BJ0206,686.03045654296875,131018.16272680461
786,BJ0206,136.95339965820312,131018.16272680461
787,BJ0206,277.7868957519531,131018.16272680461
788,BJ0206,424.9332580566406,131018.16272680461
789,BJ0206,346.9770202636719,131018.16272680461
