id,so2,so2_adm2
5971,-3.995736905534188e-6,4.704222491789845e-6
5973,-1.0454715214619286e-05,4.704222491789845e-6
6188,-1.0929840766551911e-5,4.704222491789845e-6
6189,2.180139256762976e-6,4.704222491789845e-6
6190,1.3039425763719563e-5,4.704222491789845e-6
6191,1.109205637554906e-5,4.704222491789845e-6
6192,8.922051849225089e-6,4.704222491789845e-6
6193,1.8340539769505938e-5,4.704222491789845e-6
6194,1.91429130152162e-5,4.704222491789845e-6
6195,1.078820683469051e-5,4.704222491789845e-6
6196,1.9892486107502072e-5,4.704222491789845e-6
6197,7.010869259309482e-6,4.704222491789845e-6
6198,-7.98385622927967e-7,4.704222491789845e-6
6199,-9.66885995901759e-6,4.704222491789845e-6
6200,-1.3032304403691644e-5,4.704222491789845e-6
6201,-1.1277954907031723e-5,4.704222491789845e-6
6202,-2.950524274489528e-6,4.704222491789845e-6
6203,4.265471515242749e-6,4.704222491789845e-6
6204,-1.0397542230619603e-6,4.704222491789845e-6
6206,-5.557585862890482e-7,4.704222491789845e-6
6208,-2.2093061217511546e-6,4.704222491789845e-6
6422,-1.913193313104222e-5,4.704222491789845e-6
6423,-9.695112649780755e-6,4.704222491789845e-6
6424,-3.70109465658398e-6,4.704222491789845e-6
6425,-1.2751850642246758e-6,4.704222491789845e-6
6426,1.5330133396541493e-7,4.704222491789845e-6
6427,1.0242484042097385e-5,4.704222491789845e-6
6428,7.970338783428472e-6,4.704222491789845e-6
6429,-1.0087242330861968e-5,4.704222491789845e-6
6430,-2.1227872010540706e-5,4.704222491789845e-6
