hhid,grappe,menage,vague,hhweight,hhsize,lat,lon,insecure
32183,32,183,2,221.50826473354346,4,11.809464963153,3.38252917863429,1
33004,33,4,1,260.5856629721025,4,11.8555510556325,3.42064596712589,1
33019,33,19,1,260.5856629721025,2,11.8555510556325,3.42064596712589,1
33034,33,34,1,260.5856629721025,7,11.8555510556325,3.42064596712589,0
33049,33,49,1,260.5856629721025,9,11.8555510556325,3.42064596712589,1
33065,33,65,1,260.5856629721025,8,11.8555510556325,3.42064596712589,1
33080,33,80,1,260.5856629721025,11,11.8555510556325,3.42064596712589,0
33095,33,95,1,260.5856629721025,4,11.8555510556325,3.42064596712589,1
33110,33,110,1,260.5856629721025,6,11.8555510556325,3.42064596712589,1
33126,33,126,1,260.5856629721025,7,11.8555510556325,3.42064596712589,1
33141,33,141,1,260.5856629721025,5,11.8555510556325,3.42064596712589,1
33156,33,156,1,260.5856629721025,1,11.8555510556325,3.42064596712589,1
33171,33,171,1,260.5856629721025,7,11.8555510556325,3.42064596712589,0
